pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
77;3253;Erlauf;;;2005;Spielplatz Erlauf;Spielplatz Erlauf,3253, Erlauf;N;48.181.262;15.182.345;;
78;3153;Eschenau;Hauptstraße 17;;2004;Spielplatz Eschenau;Spielplatz Eschenau,3153, Eschenau;N;48.050.528;15.568.360;;
79;3324;Euratsfeld;Birkenstraße;;2002;Spielplatz Euratsfeld;Spielplatz Euratsfeld,3324, Euratsfeld;N;48.079.671;14.934.319;;
80;3903;Echsenbach;Feldgasse;;2006;Spielplatz Feldgasse;Spielplatz Feldgasse,3903, Echsenbach;N;48.717.808;15.212.696;;
81;3830;Hollenbach;;Best Trip Camp Hollenbach, 300 m südlich von Hollenbach. Diese Anlage ist kostenplichtig und die Benutzung ist nur mit Anmeldung möglich. 02842/52561-12 (Büro);;Spielplatz Freizeitanlage Hollenbach;Spielplatz Freizeitanlage Hollenbach,3830, Hollenbach;N;48.827.886;15.325.084;;
82;3393;Zelking-Matzleinsdorf;In Gassen;;2003;Spielplatz Gassen;Spielplatz Gassen,3393, Zelking-Matzleinsdorf;N;48.183.819;15.261.212;;
83;2852;Grametschlag;;;;Spielplatz Grametschlag;Spielplatz Grametschlag,2852, Grametschlag;N;47.440.256;16.172.590;;
84;2034;Großharras;Nr. 114;;2004;Spielplatz Großharras;Spielplatz Großharras,2034, Großharras;N;48.666.615;16.248.926;;
85;3423;St.Andrä-Wördern;Feldgasse 67a;;2005;Spielplatz Hadersfeld;Spielplatz Hadersfeld,3423, St.Andrä-Wördern;N;48.337.211;16.266.422;;
86;2133;Hagenberg;Hagenberg 68;direkt im Ort;2002;Spielplatz Hagenberg;Spielplatz Hagenberg,2133, Hagenberg;N;48.633.199;16.450.563;;
87;3860;Heidenreichstein;Litschauerstraße 18;angrenzend an ehemalige Anderswelt;;Spielplatz Heidenreichstein;Spielplatz Heidenreichstein,3860, Heidenreichstein;N;48.873.677;15.120.046;;
88;3192;Hohenberg;;in Hinterberg;2004;Spielplatz Hinterberg;Spielplatz Hinterberg,3192, Hohenberg;N;47.905.637;15.642.521;;
89;2371;Hinterbrühl;;;2005;Spielplatz Hinterbrühl;Spielplatz Hinterbrühl,2371, Hinterbrühl;N;48.090.131;16.238.928;;
90;3430;Tulln/Erholungspark;Donaulände 78;;;Spielplatz im Aubad Tulln;Spielplatz im Aubad Tulln,3430, Tulln/Erholungspark;N;48.332.564;16.063.390;;
91;3341;Ybbsitz;Hammerschmiedstraße;an der Schmiedemeile;2006;Spielplatz im Dr. Meyer-Park;Spielplatz im Dr. Meyer-Park,3341, Ybbsitz;N;47.945.101;14.897.162;;
92;2170;Poysdorf;Laaerstraße 106;;2003;Spielplatz im Freizeitzentrum;Spielplatz im Freizeitzentrum ,2170, Poysdorf;N;48.665.200;16.613.292;;
93;3251;Purgstall an der Erlauf;Parkgasse 21-23;;2003;Spielplatz im Gemeindepark;Spielplatz im Gemeindepark,3251, Purgstall an der Erlauf;N;48.060.703;15.135.196;;
94;2054;Haugsdorf;Leopold Leuthnerstraße;im Kaiserpark, vorbeiführende Straße ist Leopold Leuthnerstraße;2004;Spielplatz im Kaiserpark;Spielplatz im Kaiserpark,2054, Haugsdorf;N;48.709.403;16.074.350;;
95;3340;Waidhofen a.d.Ybbs;Oberer Stadtplatz 28;;;Spielplatz im Naturpark Buchenberg;Spielplatz im Naturpark Buchenberg,3340, Waidhofen a.d.Ybbs;N;47.961.109;14.774.577;;
96;2381;Laab im Walde;Hauptstraße 38;;2005;Spielplatz im Pfarrgarten;Spielplatz im Pfarrgarten,2381, Laab im Walde;N;48.156.108;16.174.618;;
97;3900;Großhaselbach;Pfarrhof Nr. 2;hinter der Kirche, im Pfarrgarten in Großhaselbach;2004;Spielplatz im Pfarrgarten;Spielplatz im Pfarrgarten,3900, Großhaselbach;N;48.725.813;15.282.797;;
98;2361;Laxenburg;Schlosspark 1;im Schlosspark Laxenburg;2002;Spielplatz im Schlosspark;Spielplatz im Schlosspark,2361, Laxenburg;N;48.063.729;16.361.162;;
99;3452;Atzenbrugg;Schloßplatz 1;;2005;Spielplatz im Schloßpark;Spielplatz im Schloßpark,3452, Atzenbrugg;N;48.292.451;15.905.820;;
100;2320;Schwechat;;im Stadtpark Schwechat;;Spielplatz im Stadtpark;Spielplatz im Stadtpark,2320, Schwechat;N;48.205.066;16.379.818;;
